Team Number,Team Name,Preferred Color,Full Auto,Breakable,Particles,Side
9764,Eastmont,silver,yes,no,4,Depot
11121,FBI,Both,yes,no,10,Crater
11865,Steel Hearts Robotics 4-H Club,silver,yes,no,5,Crater
12583,Trinity,gold,yes,no,12,Crater
12894,Hexspeak,Both,yes,no,14,Both
13648,Jankbot,both,no,no,0,Crater
15468,Spartabots Green,gold,yes,no,13,Crater
15070,Master Blasters Lords of Disasters,Gold,yes,no,6,Both
15349,Infinity,Both,yes,no,5,Depot
12877,Amelia's Alicorns: Defenders of Technology,both,No,no,6,Depot
12089,MATSB,silver,yes,no,10,Both
8923,perpetual velocity,Both,yes,no,20,Crater
6559,Geared Reaction,Both,yes,no,18,Crater
5961,Sound Robotics,Gold,yes,no,7,Crater
3491,Fix It,Silver,yes,no,6,Depot
2856,Tesseract,Gold,yes,no,15,Depot
417,SKID,Gold,yes,no,16,Crater
6220,Centripetal Force,Both,yes,no,19,Both
8628,Chickenados,Both,yes,no,9,Crater
11138,Roboeclipse,Both,yes,no,18,Crater
11477,Four Eyes,Both,yes,no,15,Crater
8099,Falcons,Both,yes,yes,0,Crater
7742,Electric Sheep,Gold,yes,no,6,Crater
5446,Clawsistency,Both,yes,no,5,Depot
11120,CPR Eagles,Silver,yes,no,16,Crater
11970,Titanium Talons,Silver,yes,no,14,Both
5604,Thunderbots,Silver,yes,no,0,Both
5971,Brain Bots,Both,yes,no,7,Both
12611,Technova,Both,yes,no,27,Crater
7198,Mechanical Minks,Both,yes,no,5,Depot
11104,Bearded Pineapples,Gold,yes,no,10,Both
